feature,mean_abs_shap
TransactionAmt,0.32053212568867706
dist1,0.25289048459801255
P_emaildomain_freq,0.21860773854714896
card3,0.20347213093335173
card1_amt_mean,0.19298231095041893
addr1,0.16220120825537374
card1_freq,0.11871667513026384
TransactionDT_hours,0.10647067214332177
card1_amt_std,0.09561564122570783
TransactionDT_days,0.09437403409613046
card5,0.08545857390267379
card2_freq,0.07812499025615566
card1,0.07425779145911579
TransactionAmt_log,0.07379810378737091
card2,0.07284529839655236
addr1_freq,0.059504926421975864
